Zipcode,State,CountyName,State Latitude,State Longitude,ZipLatitude,ZipLongitude
13797,NY,Broome County,43,-75,42.35,-76
77455,TX,Wharton County,31,-100,29.18,-96.42
68955,NE,Adams County,41.5,-100,40.58,-98.5
55381,MN,McLeod County,46.39241,-94.63623,44.9,-94.19
67522,KS,Reno County,38.5,-98,38.13,-97.77
64835,MO,Jasper County,38.573936,-92.60376,37.15,-94.43
49440,MI,Muskegon County,44.182205,-84.506836,43.22,-86.25
42372,KY,McLean County,37.839333,-84.27002,37.41,-87.26
96051,CA,Shasta County,36.778259,-119.417931,40.88,-122.38
39337,MS,Newton County,33,-90,32.53,-89.18
56128,MN,Pipestone County,46.39241,-94.63623,43.87,-96.13
22959,VA,Albemarle County,37.926868,-78.024902,37.94,-78.63
21557,MD,Allegany County,39.045753,-76.641273,39.53,-78.88
24553,VA,Appomattox County,37.926868,-78.024902,37.54,-78.84
36752,AL,Lowndes County,32.31823,-86.902298,32.27,-86.61
95462,CA,Sonoma County,36.778259,-119.417931,38.45,-123.01
29481,SC,Colleton County,33.836082,-81.163727,33.08,-80.81
46115,IN,Rush County,40.273502,-86.126976,39.73,-85.57
54212,WI,Door County,44.5,-89.5,45.13,-87.23
59749,MT,Madison County,46.96526,-109.533691,45.43,-112.12
61285,IL,Carroll County,40,-89,41.95,-90.1
76471,TX,Eastland County,31,-100,32.09,-98.96
80737,CO,Sedgwick County,39.113014,-105.358887,40.98,-102.26
59037,MT,Yellowstone County,46.96526,-109.533691,45.82,-108.22
56587,MN,Otter Tail County,46.39241,-94.63623,46.65,-95.8
49411,MI,Mason County,44.182205,-84.506836,44.1,-86.21
2876,RI,Providence County,41.700001,-71.5,41.97,-71.55
83448,ID,Madison County,44.068203,-114.742043,43.85,-111.69
76433,TX,Erath County,31,-100,32.35,-98.02
13052,NY,Madison County,43,-75,42.75,-75.86
36480,AL,Monroe County,32.31823,-86.902298,31.3,-87.5
49776,MI,Presque Isle County,44.182205,-84.506836,45.26,-83.69
67576,KS,Stafford County,38.5,-98,38,-98.76
73038,OK,Caddo County,36.084621,-96.921387,35.1,-98.44
81130,CO,Mineral County,39.113014,-105.358887,37.85,-106.92
37374,TN,Marion County,35.860119,-86.660156,35.19,-85.66
61256,IL,Rock Island County,40,-89,41.55,-90.4
97454,OR,Lane County,44,-120.5,44.21,-122.8
55019,MN,Rice County,46.39241,-94.63623,44.42,-93.2
55052,MN,Rice County,46.39241,-94.63623,44.22,-93.44
47272,IN,Decatur County,40.273502,-86.126976,39.42,-85.62
47970,IN,Benton County,40.273502,-86.126976,40.49,-87.1
29545,SC,Horry County,33.836082,-81.163727,34.12,-78.89
27507,NC,Granville County,35.782169,-80.793457,36.5,-78.55
13616,NY,Jefferson County,43,-75,44.03,-75.84
3864,NH,Carroll County,44,-71.5,43.68,-71.11
75852,TX,Madison County,31,-100,31.02,-95.75
81418,CO,Delta County,39.113014,-105.358887,38.84,-107.95
71826,AR,Lafayette County,34.799999,-92.199997,33.09,-93.65
22846,VA,Rockingham County,37.926868,-78.024902,38.36,-78.79
11939,NY,Suffolk County,43,-75,41.12,-72.34
12116,NY,Otsego County,43,-75,42.53,-74.88
78011,TX,Atascosa County,31,-100,28.85,-98.7
62087,IL,Madison County,40,-89,38.82,-90.05
34681,FL,Pinellas County,27.994402,-81.760254,28.08,-82.76
40144,KY,Breckinridge County,37.839333,-84.27002,37.75,-86.41
47469,IN,Orange County,40.273502,-86.126976,38.56,-86.61
42464,KY,Hopkins County,37.839333,-84.27002,37.18,-87.38
65658,MO,Barry County,38.573936,-92.60376,36.52,-93.65
76693,TX,Freestone County,31,-100,31.79,-96.46
81063,CO,Crowley County,39.113014,-105.358887,38.22,-103.75
65256,MO,Boone County,38.573936,-92.60376,39.14,-92.45
36321,AL,Houston County,32.31823,-86.902298,31.19,-85.3
57053,SD,Turner County,44.5,-100,43.39,-97.13
43986,OH,Harrison County,40.367474,-82.996216,40.36,-81
53936,WI,Adams County,44.5,-89.5,43.89,-89.71
24122,VA,Bedford County,37.926868,-78.024902,37.38,-79.73
4110,ME,Cumberland County,45.367584,-68.972168,43.75,-70.2
99173,WA,Stevens County,47.751076,-120.740135,48.02,-117.85
49452,MI,Oceana County,44.182205,-84.506836,43.5,-86.34
78954,TX,Fayette County,31,-100,30.06,-96.69
82410,WY,Big Horn County,43.07597,-107.290283,44.37,-108.04
28683,NC,Wilkes County,35.782169,-80.793457,36.36,-80.94
44634,OH,Columbiana County,40.367474,-82.996216,40.85,-81.05
78623,TX,Comal County,31,-100,29.96,-98.26
52224,IA,Tama County,42.032974,-93.581543,42.17,-92.3
30641,GA,Walton County,33.247875,-83.441162,33.78,-83.6
68466,NE,Gage County,41.5,-100,40.12,-96.66
3588,NH,Coos County,44,-71.5,44.57,-71.18
43145,OH,Pickaway County,40.367474,-82.996216,39.55,-83.25
86022,AZ,Coconino County,34.048927,-111.093735,36.74,-112.11
14781,NY,Chautauqua County,43,-75,42.16,-79.59
13493,NY,Oswego County,43,-75,43.42,-75.88
35463,AL,Tuscaloosa County,32.31823,-86.902298,33.12,-87.72
27865,NC,Beaufort County,35.782169,-80.793457,35.6,-76.83
67031,KS,Sumner County,38.5,-98,37.38,-97.64
24225,VA,Russell County,37.926868,-78.024902,36.94,-82.15
36258,AL,Clay County,32.31823,-86.902298,33.45,-85.68
49689,MI,Manistee County,44.182205,-84.506836,44.21,-85.95
54635,WI,Jackson County,44.5,-89.5,44.38,-91.01
75479,TX,Fannin County,31,-100,33.59,-96.36
17224,PA,Franklin County,41.203323,-77.194527,39.94,-77.87
74956,OK,LeFlore County,36.084621,-96.921387,35.13,-94.66
17535,PA,Lancaster County,41.203323,-77.194527,40.01,-76.04
63349,MO,Lincoln County,38.573936,-92.60376,38.97,-91.13
3838,NH,Carroll County,44,-71.5,44.1,-71.17
15349,PA,Greene County,41.203323,-77.194527,39.75,-80.11
39096,MS,Jefferson County,33,-90,31.81,-91.19
97110,OR,Clatsop County,44,-120.5,45.92,-123.97
35988,AL,De Kalb County,32.31823,-86.902298,34.55,-85.8
16130,PA,Mercer County,41.203323,-77.194527,41.43,-80.12
74051,OK,Washington County,36.084621,-96.921387,36.6,-95.98
